mean_planes,std_planes,mean_diversions,std_diversions,mean_landings,std_landings,mean_reposition,std_reposition
18.019,4.302691268514644,0.002,0.04469897088298564,17.622,4.259490492918051,2.773,2.368349653256478
17.845,4.284545755658624,0.0,0.0,17.504,4.222062269769338,2.712,2.4578643365932744
17.969,4.145023548813712,0.001,0.0316227766016838,17.611,4.094685023960383,2.656,2.2866772603261905
17.809,4.07886701868989,0.001,0.0316227766016838,17.451,4.026389301944214,2.719,2.381535368351835
18.069,4.196886090049723,0.001,0.0316227766016838,17.692,4.118992850455327,2.692,2.504277821530073
18.338,4.160657047518705,0.0,0.0,17.951,4.107245849528424,2.901,2.4607426225134263
17.954,4.112030251930643,0.0,0.0,17.615,4.103853873691974,2.685,2.4637055109823587
17.811,4.189609985646855,0.004,0.06315051850925682,17.413,4.150139112687026,2.681,2.4325205356083135
17.882,4.101328674575703,0.002,0.04469897088298564,17.514,4.036346875095858,2.636,2.4518392107794336
18.025,4.2488148262106495,0.001,0.03162277660168379,17.643,4.1929860639086485,2.789,2.463035839273466
18.0,4.264526490266673,0.002,0.0632455532033676,17.642,4.238372305472916,2.812,2.5883112941366533
18.044,4.311455978280731,0.001,0.0316227766016838,17.654,4.233935546298528,2.775,2.5049250786499884
17.818,4.166321427138602,0.0,0.0,17.482,4.130464469855266,2.713,2.4614405720410333
18.024,4.272432290590183,0.002,0.04469897088298564,17.634,4.245240401445608,2.84,2.529584708761262
18.037,4.188218257466076,0.002,0.04469897088298564,17.682,4.148021465962065,2.67,2.358529767177566
18.266,4.414604482026983,0.002,0.04469897088298564,17.913,4.370186441049114,2.839,2.617619325060642
17.941,4.214888407097427,0.002,0.04469897088298564,17.574,4.174440076219798,2.785,2.5010058036777982
18.146,4.122096029409756,0.003,0.054717401199198,17.75,4.061279846796326,2.844,2.4987812845281017
18.005,4.115569573329178,0.0,0.0,17.578,4.05861902479013,2.722,2.403433479939167
18.016,4.240958586184228,0.002,0.04469897088298564,17.588,4.151082688587098,2.796,2.4220343206177426
17.914,4.293371290377416,0.001,0.0316227766016838,17.532,4.252888790347458,2.78,2.60545358592096
17.956,4.215902968266446,0.0,0.0,17.522,4.174559011793095,2.675,2.4114705451633016
17.93,4.262072883617227,0.001,0.03162277660168379,17.567,4.2029960951892615,2.721,2.425498307985813
18.206,3.99268149312032,0.0,0.0,17.857,3.9547681589685117,2.733,2.435085345658472
18.043,4.154565129037143,0.001,0.0316227766016838,17.675,4.096358767876071,2.639,2.2978161281875797
18.112,4.152432865044141,0.002,0.04469897088298564,17.725,4.098557450271152,2.714,2.4552458598340476
17.76,4.184723636264635,0.002,0.04469897088298564,17.404,4.15644801002732,2.668,2.3814800959586977
17.96,4.271843706018357,0.002,0.04469897088298564,17.581,4.211315017209491,2.641,2.3794496802371725
18.192,4.22456897008239,0.001,0.03162277660168379,17.805,4.183117673873575,2.82,2.527050847526813
18.092,4.2070459036282495,0.0,0.0,17.716,4.173818966458029,2.819,2.468670357365141
18.022,4.189638298119429,0.002,0.04469897088298564,17.659,4.139547663073207,2.776,2.4693970766002624
18.004,4.135829915396557,0.002,0.04469897088298564,17.621,4.1085568316915415,2.761,2.5004261898986604
17.948,4.248452111692604,0.001,0.0316227766016838,17.577,4.204967628026732,2.778,2.3896498543565805
17.97,3.955343821306151,0.0,0.0,17.62,3.894196292531331,2.676,2.3918078402632483
18.067,4.2150062013331935,0.001,0.03162277660168379,17.668,4.171471823850327,2.778,2.4780752322834867
18.134,4.2968018928624705,0.002,0.04469897088298564,17.796,4.2497581630540395,2.955,2.5852772885434665
17.902,4.1717861641987115,0.0,0.0,17.521,4.11904424903709,2.666,2.3211703582098044
18.015,4.136409661153605,0.003,0.054717401199198004,17.594,4.052602569656639,2.65,2.3898140536893684
18.346,4.10281819206227,0.001,0.03162277660168379,17.956,4.080283410832232,2.765,2.4620797787311517
18.049,4.105295659566123,0.001,0.03162277660168379,17.663,4.045218757347345,2.776,2.3760196694197355
18.138,4.180003400528332,0.002,0.04469897088298564,17.791,4.113665183415058,2.759,2.483764901935787
18.146,4.268595191032397,0.0,0.0,17.756,4.23064562003985,2.757,2.431843922801146
18.064,4.272488520541414,0.001,0.0316227766016838,17.672,4.224009736998514,2.853,2.3910474918136004
17.853,4.109047976755112,0.001,0.0316227766016838,17.475,4.0767628082824485,2.706,2.498360623650198
18.113,4.0913286313824715,0.003,0.054717401199198004,17.718,4.008059448229347,2.723,2.3849442255446895
17.953,4.246507249943631,0.003,0.054717401199198004,17.553,4.191271615841397,2.797,2.4915856395072993
18.281,4.318644427327826,0.001,0.03162277660168379,17.904,4.2772747256961505,2.798,2.53882682387784
17.91,4.31561403794692,0.0,0.0,17.514,4.291645631016408,2.783,2.5120153704189834
18.076,4.198553542811125,0.0,0.0,17.739,4.142226096803148,2.752,2.410872934915548
17.817,4.12705022304594,0.001,0.03162277660168379,17.453,4.100805726635634,2.63,2.474110187768771
18.183,4.204186744922993,0.001,0.0316227766016838,17.774,4.140539586583863,2.812,2.424568937880409
18.152,4.219561671631391,0.001,0.03162277660168379,17.746,4.140607277758738,2.835,2.6116270016209424
17.883,4.354799108486553,0.001,0.0316227766016838,17.523,4.312315742970019,2.731,2.5033788977911247
18.058,4.169894965586546,0.001,0.03162277660168379,17.668,4.135320649825945,2.848,2.474473483191731
18.016,4.150297455480627,0.0,0.0,17.67,4.10608815784074,2.726,2.500635354700316
17.971,4.2584378935583045,0.001,0.03162277660168379,17.551,4.198693609687187,2.734,2.547495580709363
17.956,4.161656326918813,0.0,0.0,17.566,4.105423059624732,2.672,2.373615396404828
17.835,4.222748702753528,0.0,0.0,17.45,4.167837673287057,2.692,2.4918558034816836
18.132,4.174925868324611,0.0,0.0,17.759,4.146578482690652,2.886,2.482975869630869
17.976,4.178382807125609,0.001,0.03162277660168379,17.608,4.104532029742634,2.74,2.491707970169981
17.963,4.248491577098945,0.003,0.054717401199198004,17.566,4.2015827133709145,2.718,2.4442688989655887
17.763,4.1706384673362935,0.0,0.0,17.388,4.151468498096871,2.679,2.309392191095374
18.067,4.339740124056318,0.0,0.0,17.694,4.2826048971046475,2.629,2.302750890057729
17.992,4.279515188692551,0.004,0.06315051850925683,17.617,4.21284453297995,2.725,2.5031261735359327
18.035,4.204456261212911,0.001,0.0316227766016838,17.669,4.142052099575233,2.709,2.410836189194764
17.973,4.199035949227263,0.002,0.04469897088298564,17.595,4.1629683286454755,2.732,2.4872399084853805
17.801,4.041253608811346,0.001,0.0316227766016838,17.406,3.956111072102857,2.746,2.4152261420656487
18.192,4.21127900653363,0.0,0.0,17.791,4.168056104671781,2.746,2.545184072314213
18.019,4.198841419876354,0.001,0.0316227766016838,17.626,4.143826166153123,2.64,2.427404435254309
17.895,4.273433892929343,0.002,0.04469897088298564,17.54,4.263634433036981,2.775,2.5832243510868445
17.739,4.354519587835246,0.0,0.0,17.381,4.300969348569847,2.713,2.411316123084123
18.144,4.21746974512575,0.003,0.054717401199198004,17.763,4.202915118759299,2.755,2.551761447801594
17.719,4.184680459790275,0.0,0.0,17.361,4.146308101295762,2.652,2.459460295460153
17.963,4.12342498823898,0.001,0.03162277660168379,17.611,4.029878275943197,2.768,2.4694684193717227
18.094,4.211995359079221,0.002,0.04469897088298564,17.741,4.180358165802829,2.773,2.549504063729056
18.186,4.217011641813096,0.001,0.0316227766016838,17.817,4.202996095189261,2.83,2.4994694131649915
17.865,4.19981111639719,0.0,0.0,17.508,4.1546596969182925,2.707,2.446453787860326
18.111,4.238471852406672,0.001,0.0316227766016838,17.746,4.1836571306677355,2.742,2.3981632945208684
18.098,4.2073861360823654,0.003,0.054717401199198004,17.713,4.181161694208096,2.845,2.543116678888808
18.136,4.256950272862678,0.002,0.04469897088298564,17.764,4.197370834453625,2.808,2.4370217633568796
17.975,4.156639586571423,0.001,0.0316227766016838,17.62,4.106149103534899,2.586,2.3757626666500693
17.939,4.146621935198997,0.001,0.03162277660168379,17.556,4.099960203913408,2.66,2.3887457181764042
17.837,4.253295372005279,0.002,0.04469897088298564,17.504,4.223484559202487,2.623,2.447623717376072
18.022,4.138918535879468,0.002,0.04469897088298564,17.696,4.089781205677183,2.722,2.370302582864545
18.018,4.160166220595396,0.002,0.04469897088298564,17.633,4.123264763790013,2.73,2.4122435446942165
17.868,4.3205605241962814,0.001,0.03162277660168379,17.481,4.252025249068814,2.706,2.4729900282208335
18.159,4.232449956305761,0.002,0.04469897088298564,17.781,4.183125331320774,2.748,2.4965433560682913
17.787,4.092722978822459,0.0,0.0,17.407,4.049660572288837,2.649,2.457201016774337
18.012,4.201131455394547,0.004,0.06315051850925683,17.621,4.14373376672893,2.753,2.5263359581364813
18.06,4.3200767427284275,0.001,0.0316227766016838,17.675,4.282021801755651,2.861,2.438775640895781
18.053,4.2485575483028635,0.0,0.0,17.703,4.225238885985459,2.763,2.3728593429576605
17.984,4.032121278186211,0.001,0.0316227766016838,17.613,4.023607886017277,2.728,2.4343257674234855
17.998,4.250654545368755,0.001,0.03162277660168379,17.611,4.181047734738287,2.791,2.5134909263087932
17.995,4.233071449183664,0.0,0.0,17.621,4.21771835808748,2.739,2.5225467770176713
18.104,4.148058629092698,0.001,0.0316227766016838,17.735,4.1247774229391805,2.739,2.4881861003691164
18.011,4.076210801037465,0.001,0.0316227766016838,17.641,4.034401491596418,2.735,2.465533178412705
18.234,4.225766332998205,0.001,0.03162277660168379,17.836,4.168030287375138,2.918,2.5423885894449216
18.273,4.136372877362554,0.001,0.0316227766016838,17.909,4.065864022597196,2.741,2.4252424210376997
18.011,4.066868379775576,0.001,0.03162277660168379,17.643,4.003195795433516,2.697,2.340655820420779
18.194,4.249520257914113,0.005,0.07056897321046965,17.815,4.200764385373383,2.901,2.5380387389952586
